Code,Name
ILI,Iliamna Airport
IPL,Imperial County Airport
IND,Indianapolis International Airport
IYK,Inyokern Airport
IMT,Iron Mountain Airport
ITH,Ithaca Tompkins Regional Airport
CEC,Jack Mc Namara Field Airport
JXN,Jackson County Airport
JAC,Jackson Hole Airport
JAN,Jackson-Evers International Airport
JAX,Jacksonville International Airport
OAJ,Jacksonville/Albert J Ellis Airport
JMS,Jamestown Regional Airport
JEF,Jefferson City Memorial Airport
JFK,John F. Kennedy International Airport
SNA,John Wayne Airport
JST,Johnstown-Cambria County Airport
JBR,Jonesboro Municipal Airport
JLN,Joplin Regional Airport
JNU,Juneau International Airport
OGG,Kahului Airport
KAE,Kake Airport
AZO,Kalamazoo/Battle Creek International Airport
KLG,Kalskag Airport
KAL,Kaltag Airport
MCI,Kansas City International Airport
OFK,Karl Stefan Memorial Airport
Z09,Kasigluk Airport
EAR,Kearney Municipal Airport
EEN,Keene/Dillant-Hopkins Airport
ENA,Kenai Municipal Airport
ENW,Kenosha Regional Airport
KTN,Ketchikan International Airport
MEI,Key Field Airport
EYW,Key West International Airport
GRK,Killeen-Fort Hood Regional Airport
KVC,King Cove Airport
AKN,King Salmon Airport
IGM,Kingman Airport
ISO,Kinston Regional Jetport
IIK,Kipnuk Airport
IRK,Kirksville Regional Airport
KVL,Kivalina Airport
LMT,Klamath Falls Airport
AKW,Klawock Airport
RKD,Knox County Regional Airport
ADQ,Kodiak Airport
KDK,Kodiak Municipal Airport
KOA,Kona International Airport
DUY,Kongiganak Airport
2A9,Kotlik Airport
KKA,Koyuk Airport
KWT,Kwethluk Airport
GGV,Kwigillingok Airport
A85,Kwigillingok Airport
LSE,La Crosse Municipal Airport
LGA,La Guardia Airport
LFT,Lafayette Regional Airport
LCH,Lake Charles Regional Airport
HII,Lake Havasu City Airport
LHD,Lake Hood Airport
TVL,Lake Tahoe Airport
NEW,Lakefront Airport
LAL,Lakeland Linder Regional Airport
LAA,Lamar Municipal Airport
STL,Lambert-St. Louis International Airport
LNY,Lanai Airport
LNS,Lancaster Airport
LAN,Lansing Capital City Airport
LAR,Laramie Regional Airport
LRD,Laredo International Airport
2A3,Larsen Bay Airport
LRU,Las Cruces International Airport
IFP,Laughlin/Bullhead International Airport
LAW,Lawton-Fort Sill Regional Airport
HOB,Lea County Regional Airport
LEB,Lebanon Municipal Airport
AIZ,Lee C Fine Memorial Airport
ABE,Lehigh Valley International Airport
LWS,Lewiston-Nez Perce County Airport
LBL,Liberal Municipal Airport
LIH,Lihue Airport
LNK,Lincoln Airport
LIT,Little Rock National Airport
LGB,Long Beach Airport
LPR,Lorain County Regional Airport
LAX,Los Angeles International Airport
SDF,Louisville International Airport
LBB,Lubbock International Airport
SJU,Luis Munoz Marin International Airport
LYH,Lynchburg Regional Airport/Preston Glenn Field
PLK,M Graham Clark - Taney County Airport
ISP,Macarthur Airport
TWF,Magic Valley Regional Airport
MMH,Mammoth Yosemite Airport
MHT,Manchester Airport
MHK,Manhattan Regional Airport
MBL,Manistee County-Blacker
